currentLanguage,Portuguese
operatingSystem,PC [Linux 4.19 Debian 10 64bit]
ipAddress,2804:14c:71:290c::2
ipCountry,BR
gameVersion,v180629
gameLanguage,pt_br
institution,neuromat
soccerTeam,Nildo
game,JG
playID,CT-0
phase,1
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,32.315700
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,False
attentionDiameter,0.6
attentionColorStart,#FFF
attentionColorCorrect,#00F
attentionColorWrong,#333
playerMachine,debian-neuromat
gameDate,200427
gameTime,142515
gameRandom,239
playerAlias,c
limitPlays,12
totalCorrect,11
successRate,1.0
gameMode,readTree
status,OK
playsToRelax,0
scoreboard,False
finalScoreboard,false
animationType,none
showHistory,False
sendMarkersToEEG,parallel
portEEGserial,COM4
groupCode,WEB
leftInputKey,F
centerInputKey,G
rightInputKey,H
speedGKAnim,2.0
portSendData,0xbd00
timeFaixa0,0.1
timeFaixa1,0.1
timeFaixa2,0.1
timeFaixa3,0.1
timeFaixa4,0.1
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHitsInSequence,0
tree, 0;0;1 | 1;0;0 | 2;1;0
sequExecuted,012012012012
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,0,n,1,false,1.427811,0.000000,1.432331
2,1,n,1,TRUE,2.196930,0.000000,5.568916
3,2,n,2,TRUE,0.998940,0.000000,8.281761
4,0,n,0,TRUE,2.859024,0.000000,13.100020
5,1,n,1,TRUE,0.551586,0.000000,15.390220
6,2,n,2,TRUE,0.531864,0.000000,17.643940
7,0,n,0,TRUE,0.338142,0.000000,19.954680
8,1,n,1,TRUE,0.400208,0.000000,22.095690
9,2,n,2,TRUE,0.388786,0.000000,24.213170
10,0,n,0,TRUE,0.346123,0.000000,26.516320
11,1,n,1,TRUE,0.343498,0.000000,28.598460
12,2,n,2,TRUE,0.240280,0.000000,30.558880
